symbol,decision_ts,schema_ok,reason_raw,schema_fail_class,symbol_listed_at_utc,symbol_age_days,err
ALLOUSDT,2026-02-08T23:50:00+00:00,false,schema_fail,integration_defect,2025-11-14T12:32:20+00:00,86,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
APEXUSDT,2026-02-08T23:50:00+00:00,false,schema_fail,integration_defect,2025-09-28T08:18:13+00:00,133,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
ASTERUSDT,2026-02-08T23:50:00+00:00,false,schema_fail,integration_defect,2025-09-19T07:46:33+00:00,142,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
BEATUSDT,2026-02-08T23:55:00+00:00,false,schema_fail,integration_defect,2025-11-21T10:53:53+00:00,79,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
BOBBOBUSDT,2026-02-08T23:55:00+00:00,false,schema_fail,integration_defect,2025-11-24T08:29:08+00:00,76,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
BREVUSDT,2026-02-08T23:55:00+00:00,false,schema_fail,warmup_expected,2025-12-30T12:56:05+00:00,40,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
CYBERUSDT,2026-02-09T00:00:00+00:00,false,schema_fail,integration_defect,2023-08-15T18:26:55+00:00,908,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
CYSUSDT,2026-02-09T00:00:00+00:00,false,schema_fail,integration_defect,2025-12-12T11:05:44+00:00,58,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
FFUSDT,2026-02-09T00:05:00+00:00,false,schema_fail,integration_defect,2025-09-29T14:22:53+00:00,132,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
FHEUSDT,2026-02-09T00:05:00+00:00,false,schema_fail,warmup_expected,2026-01-07T07:40:01+00:00,32,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
FIDAUSDT,2026-02-09T00:05:00+00:00,false,schema_fail,integration_defect,2024-09-25T09:03:14+00:00,501,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
FLOWUSDT,2026-02-09T00:05:00+00:00,false,schema_fail,integration_defect,2021-11-25T16:00:00+00:00,1536,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
FOLKSUSDT,2026-02-09T00:05:00+00:00,false,schema_fail,integration_defect,2025-12-09T11:06:22+00:00,61,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
HNTUSDT,2026-02-09T00:10:00+00:00,false,schema_fail,integration_defect,2022-01-24T06:47:20+00:00,1476,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
IRYSUSDT,2026-02-09T00:10:00+00:00,false,schema_fail,integration_defect,2025-11-27T06:00:43+00:00,73,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
JCTUSDT,2026-02-09T00:10:00+00:00,false,schema_fail,integration_defect,2025-11-17T10:12:07+00:00,83,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
LITUSDT,2026-02-09T00:15:00+00:00,false,schema_fail,warmup_expected,2025-12-30T10:08:18+00:00,40,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
MAGMAUSDT,2026-02-09T00:15:00+00:00,false,schema_fail,warmup_expected,2025-12-26T07:06:53+00:00,44,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
MERLUSDT,2026-02-09T00:15:00+00:00,false,schema_fail,integration_defect,2024-04-19T11:02:21+00:00,660,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
METISUSDT,2026-02-09T00:15:00+00:00,false,schema_fail,integration_defect,2024-01-02T15:05:24+00:00,768,"missing_required:['days_since_prev_break', 'S6_fresh_x_compress']"
