pr_auc,brier,fold,n_train,n_test
0.7175162575258542,0.2655692132569616,1,277,105
0.7560574344578461,0.2502413637979189,2,242,105
0.7233792578067252,0.2645968812100261,3,207,105
0.7212418470112651,0.23260515994681624,4,207,105
0.6474229525465227,0.24918058979378693,5,207,105
0.6484993463285306,0.30088493403522937,6,207,105
0.5998119440472024,0.29647055559874996,7,208,105
0.6711203486757567,0.31388748541015704,8,209,104
0.559483914176919,0.32182510542865117,9,210,104
0.6224796191212726,0.3187280801033397,10,244,104
0.7600489644768265,0.2363834101199677,11,242,105
0.7855551571081586,0.24891579506826078,12,207,105
0.580952380952381,0.2511296324911793,13,172,105
0.6095238095238096,0.23805016868835147,14,172,105
0.7238095238095238,0.2236382600633548,15,172,105
0.6571428571428571,0.2509166933170408,16,173,105
0.7307692307692307,0.21152575789912298,17,174,104
0.5384615384615384,0.25384489795918364,18,175,104
0.6295922041545218,0.31337462109475955,19,209,104
0.7472977432215182,0.25617566454984186,20,207,105
0.5619047619047619,0.2575526668211903,21,172,105
0.5904761904761905,0.242711766362467,22,137,105
0.7047619047619048,0.22844102103519223,23,137,105
0.638095238095238,0.25884568067932906,24,138,105
0.7115384615384616,0.21525701408989034,25,139,104
0.5192307692307693,0.2586656200941916,26,140,104
0.6346153846153846,0.23290598290598294,27,174,104
0.6226807403266265,0.26731259997771617,28,207,105
0.5333333333333333,0.2656480980710294,29,172,105
0.6476190476190476,0.228484659354711,30,137,105
